id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
90000480,Union,Laurelwood Community Preschool,Center,5 Star C 2C,9,1,0,0,9,10,5,18,0,42,35,35,Independent Converted House,N,14,January,2023
90000480,Union,Laurelwood Community Preschool,Center,5 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,14,January,2023
90000480,Union,Laurelwood Community Preschool,Center,5 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,N,14,January,2023
90000486,Union,Kidz Connection Childcare Center,Center,4 Star C 2C,11,1,0,0,0,0,0,0,0,0,66,66,Independent Converted Building,N,3,January,2023
90000486,Union,Kidz Connection Childcare Center,Center,4 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,3,January,2023
90000486,Union,Kidz Connection Childcare Center,Center,4 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,3,January,2023
90000490,Union,Leafspring School At Matthews,Center,5 Star C 2C,4,1,14,10,37,35,37,0,0,133,193,193,Franchise Constructed for Child Care,N,26,January,2023
90000490,Union,Leafspring School At Matthews,Center,5 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,26,January,2023
90000490,Union,Leafspring School At Matthews,Center,5 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,26,January,2023
90000491,Union,"Ladybug Learning Academy, Llc",Center,4 Star C 2C,12,1,4,11,7,7,5,3,30,67,169,100,Independent Converted Building,Y,16,January,2023
90000491,Union,"Ladybug Learning Academy, Llc",Center,4 Star C 2C,12,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,16,January,2023
90000491,Union,"Ladybug Learning Academy, Llc",Center,4 Star C 2C,12,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,16,January,2023
90000494,Union,Leafspring School At Matthews­the Village,Center,5 Star C 2C,5,1,0,0,0,4,17,19,47,87,199,199,Franchise Constructed for Child Care,N,15,January,2023
90000494,Union,Leafspring School At Matthews­the Village,Center,5 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,15,January,2023
90000494,Union,Leafspring School At Matthews­the Village,Center,5 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,15,January,2023
90000497,Union,Big Blue Marble­wesley Chapel,Center,3 Star C 2C,1,1,15,22,17,30,29,14,72,199,415,415,Independent Constructed for Child Care,Y,26,January,2023
90000497,Union,Big Blue Marble­wesley Chapel,Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,26,January,2023
90000497,Union,Big Blue Marble­wesley Chapel,Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,26,January,2023
90000499,Union,Big Blue Marble­waxhaw,Center,3 Star C 2C,1,1,9,15,27,22,26,0,46,145,197,197,Independent Constructed for Child Care,Y,23,January,2023
90000499,Union,Big Blue Marble­waxhaw,Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,23,January,2023
90000499,Union,Big Blue Marble­waxhaw,Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,23,January,2023
90000504,Union,"Wilma's Day Care, Inc.",Center,3 Star C 2C,1,1,8,12,16,7,17,8,3,71,75,75,Independent Converted House,Y,10,January,2023
90000504,Union,"Wilma's Day Care, Inc.",Center,3 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,10,January,2023
90000504,Union,"Wilma's Day Care, Inc.",Center,3 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,10,January,2023
90000507,Union,Wonder Academy,Center,4 Star C 2C,5,1,7,40,15,1,11,0,6,80,199,199,Independent Constructed for Child Care,Y,11,January,2023
90000507,Union,Wonder Academy,Center,4 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,January,2023
90000507,Union,Wonder Academy,Center,4 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,11,January,2023
90000508,Union,Everbrook Academy,Center,3 Star C 2C,7,1,15,19,31,25,34,12,0,136,156,156,Franchise Constructed for Child Care,N,23,January,2023
90000508,Union,Everbrook Academy,Center,3 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,23,January,2023
90000508,Union,Everbrook Academy,Center,3 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,N,23,January,2023
90000523,Union,The Goddard School Of Indian Trail,Center,5 Star C 2C,8,1,9,19,28,31,32,15,0,134,145,145,Independent Constructed for Child Care,Y,21,January,2023
90000523,Union,The Goddard School Of Indian Trail,Center,5 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,21,January,2023
90000523,Union,The Goddard School Of Indian Trail,Center,5 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,Y,21,January,2023
90000524,Union,The Learning Experience,Center,1 Star C 2C,12,1,16,29,37,45,18,25,40,210,256,256,Independent Constructed for Child Care,N,26,January,2023
90000524,Union,The Learning Experience,Center,1 Star C 2C,12,2,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,N,26,January,2023
90000524,Union,The Learning Experience,Center,1 Star C 2C,12,3,0,0,0,0,0,0,0,0,0,0,Independent Constructed for Child Care,N,26,January,2023
90000526,Union,Kids Cove,Center,Other,5,1,0,0,0,0,0,0,0,0,100,0,Religious Sponsored Constructed for Child Care,N,0,January,2023
90000526,Union,Kids Cove,Center,Other,5,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,N,0,January,2023
90000526,Union,Kids Cove,Center,Other,5,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,N,0,January,2023
90000532,Union,Kindercare­sardis,Center,4 Star C 2C,7,1,5,11,8,10,11,8,12,65,147,147,Franchise Constructed for Child Care,Y,15,January,2023
90000532,Union,Kindercare­sardis,Center,4 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,15,January,2023
90000532,Union,Kindercare­sardis,Center,4 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,15,January,2023
90000534,Union,Kindercare­matthews,Center,4 Star C 2C,2,1,11,16,13,15,18,16,14,103,189,189,Franchise Constructed for Child Care,Y,22,January,2023
90000534,Union,Kindercare­matthews,Center,4 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,22,January,2023
90000534,Union,Kindercare­matthews,Center,4 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Franchise Constructed for Child Care,Y,22,January,2023
90000535,Union,Kidz Connection Childcare­the Village,Center,3 Star C 2C,11,1,1,3,1,1,3,0,19,28,90,90,Independent Converted Building,N,3,January,2023
