id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
60001161,MECKLENBURG,CENTERS,5-STAR,1,4,11,9,5,9,1,14,53,99,99,Franchise     Modular,Y,2,march,2017
60001161,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,29,29,Franchise     Modular,Y,2,march,2017
60001161,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise     Modular,Y,2,march,2017
60001186,MECKLENBURG,CENTERS,4-STAR,1,0,0,0,0,0,0,2,2,15,15,Independent   Family,Y,1,march,2017
60001186,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,5,0,Independent   Family,Y,1,march,2017
60001186,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent   Family,Y,1,march,2017
60001201,MECKLENBURG,CENTERS,4-STAR,1,0,0,0,11,38,23,0,72,96,96,Head Start    Religious,N,9,march,2017
60001201,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Head Start    Religious,N,9,march,2017
60001201,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Head Start    Religious,N,9,march,2017
60001202,MECKLENBURG,CENTERS,5-STAR,1,1,2,3,1,2,0,0,9,12,12,Independent   Family,Y,2,march,2017
60001202,MECKLENBURG,CENTERS,5-STAR,2,0,0,1,0,1,0,0,2,5,0,Independent   Family,Y,2,march,2017
60001202,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent   Family,Y,2,march,2017
60001211,MECKLENBURG,CENTERS,5-STAR,1,3,5,5,15,12,7,0,47,59,59,Parent        Constructed for,Y,2,march,2017
60001211,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Parent        Constructed for,Y,2,march,2017
60001211,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Parent        Constructed for,Y,2,march,2017
60001229,MECKLENBURG,CENTERS,4-STAR,1,7,16,13,20,15,0,18,89,150,150,Franchise     Constructed for,Y,5,march,2017
60001229,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,5,march,2017
60001229,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise     Constructed for,Y,5,march,2017
60001230,MECKLENBURG,CENTERS,4-STAR,1,3,14,14,10,11,2,16,70,99,99,Independent   Converted House,Y,9,march,2017
60001230,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,99,99,Independent   Converted House,Y,9,march,2017
60001230,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,99,99,Independent   Converted House,Y,9,march,2017
60001246,MECKLENBURG,CENTERS,4-STAR,1,0,0,4,2,1,3,2,12,12,12,Independent   Family,Y,4,march,2017
60001246,MECKLENBURG,CENTERS,4-STAR,2,0,0,1,0,0,0,2,3,5,5,Independent   Family,Y,4,march,2017
60001246,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent   Family,Y,4,march,2017
60001247,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,39,39,77,77,Park and      Constructed for,Y,7,march,2017
60001247,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Park and      Constructed for,Y,7,march,2017
60001247,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Park and      Constructed for,Y,7,march,2017
60001250,MECKLENBURG,CENTERS,5-STAR,1,0,1,1,3,1,1,5,12,12,12,Independent    Family,Y,4,march,2017
60001250,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,5,0,Independent    Family,Y,4,march,2017
60001250,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,4,march,2017
60001264,MECKLENBURG,CENTERS,5-STAR,1,1,0,2,3,1,1,7,15,12,12,Independent    Family,Y,3,march,2017
60001264,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,3,march,2017
60001264,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,march,2017
60001272,MECKLENBURG,CENTERS,4-STAR,1,2,3,0,4,2,0,1,12,12,12,Independent    Family,Y,3,march,2017
60001272,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,3,march,2017
60001272,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,march,2017
60001287,MECKLENBURG,CENTERS,5-STAR,1,0,0,1,6,4,4,13,28,29,29,Religious      Other,Y,5,march,2017
60001287,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Religious      Other,Y,5,march,2017
60001287,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Religious      Other,Y,5,march,2017
60001302,MECKLENBURG,CENTERS,5-STAR,1,0,1,2,0,2,1,1,7,12,12,Independent    Family,Y,3,march,2017
60001302,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,3,march,2017
60001302,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,march,2017
60001321,MECKLENBURG,CENTERS,4-STAR,1,0,7,1,5,5,0,15,33,92,92,Independent    Converted House,Y,7,march,2017
60001321,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,1,0,1,2,92,92,Independent    Converted House,Y,7,march,2017
60001321,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Converted House,Y,7,march,2017
60001324,MECKLENBURG,CENTERS,5-STAR,1,2,7,10,4,9,0,0,32,69,69,Independent    Constructed for,Y,8,march,2017
60001324,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,69,69,Independent    Constructed for,Y,8,march,2017
60001324,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,8,march,2017
60001328,MECKLENBURG,CENTERS,5-STAR,1,1,1,2,5,0,0,5,14,12,12,Independent    Family,Y,3,march,2017
60001328,MECKLENBURG,CENTERS,5-STAR,2,1,1,0,0,0,0,2,4,5,5,Independent    Family,Y,3,march,2017
60001328,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,3,march,2017
60001334,MECKLENBURG,CENTERS,5-STAR,1,12,3,13,11,16,13,12,80,100,100,Independent    Constructed for,Y,5,march,2017
60001334,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,5,march,2017
60001334,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,5,march,2017
60001347,MECKLENBURG,CENTERS,5-STAR,1,16,17,18,26,31,46,21,175,161,161,Independent    Constructed for,Y,6,march,2017
60001347,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,161,161,Independent    Constructed for,Y,6,march,2017
60001347,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,6,march,2017
60001352,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,9,9,12,12,Independent    Family,Y,2,march,2017
60001352,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,2,march,2017
60001352,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,2,march,2017
60001358,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,4,2,35,41,100,100,Local Public   School,Y,5,march,2017
60001358,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,5,march,2017
