id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
86000393,Surry,Tiny Hands Child Care Of Dobson,Center,3 Star C 2C,3,1,9,8,0,13,7,2,15,54,88,88,Independent Converted Building,Y,10,December,2020
86000393,Surry,Tiny Hands Child Care Of Dobson,Center,3 Star C 2C,3,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,10,December,2020
86000393,Surry,Tiny Hands Child Care Of Dobson,Center,3 Star C 2C,3,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,10,December,2020
86000402,Surry,Pleasant Hill Baptist Church Day Care,Center,Other,6,1,18,22,38,33,41,12,0,164,189,189,Religious SponsoredConstructed for Child Care,Y,4,December,2020
86000402,Surry,Pleasant Hill Baptist Church Day Care,Center,Other,6,2,0,0,0,0,0,0,0,0,0,0,Religious SponsoredConstructed for Child Care,Y,4,December,2020
86000402,Surry,Pleasant Hill Baptist Church Day Care,Center,Other,6,3,0,0,0,0,0,0,0,0,0,0,Religious SponsoredConstructed for Child Care,Y,4,December,2020
8652344,Surry,Central Methodist Child Center,Center,3 Star C 2C,9,1,0,0,0,13,16,6,0,35,99,99,Religious SponsoredReligious,Y,4,December,2020
8652344,Surry,Central Methodist Child Center,Center,3 Star C 2C,9,2,0,0,0,0,0,0,0,0,0,0,Religious SponsoredReligious,Y,4,December,2020
8652344,Surry,Central Methodist Child Center,Center,3 Star C 2C,9,3,0,0,0,0,0,0,0,0,0,0,Religious SponsoredReligious,Y,4,December,2020
8655015,Surry,Paynetown Head Start,Center,5 Star C 2C,2,1,0,0,0,0,0,0,0,0,20,20,Head Start Community Building,Y,3,December,2020
8655015,Surry,Paynetown Head Start,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
8655015,Surry,Paynetown Head Start,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
8655016,Surry,Red Hill Creek Head Start,Center,5 Star C 2C,1,1,0,0,0,0,0,0,0,0,20,20,Head Start Community Building,Y,3,December,2020
8655016,Surry,Red Hill Creek Head Start,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
8655016,Surry,Red Hill Creek Head Start,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
8655027,Surry,Oak Grove Head Start,Center,5 Star C 2C,11,1,0,0,0,2,4,0,0,6,20,20,Head Start Community Building,Y,3,December,2020
8655027,Surry,Oak Grove Head Start,Center,5 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
8655027,Surry,Oak Grove Head Start,Center,5 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Head Start Community Building,Y,3,December,2020
87000008,Swain,Bryson City Head Start,Center,4 Star C 2C,5,1,0,0,0,19,13,8,0,40,40,40,Head Start Constructed for Child Care,N,5,December,2020
87000008,Swain,Bryson City Head Start,Center,4 Star C 2C,5,2,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,5,December,2020
87000008,Swain,Bryson City Head Start,Center,4 Star C 2C,5,3,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,5,December,2020
87000020,Swain,Little Hands Playskool,Center,5 Star C 2C,6,1,3,5,10,5,3,1,11,38,40,40,Independent Converted House,Y,6,December,2020
87000020,Swain,Little Hands Playskool,Center,5 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,6,December,2020
87000020,Swain,Little Hands Playskool,Center,5 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Independent Converted House,Y,6,December,2020
87000035,Swain,Kaleidoscope Dreams,Center,4 Star C 2C,11,1,6,5,14,9,10,0,16,60,76,76,Independent Community Building,Y,9,December,2020
87000035,Swain,Kaleidoscope Dreams,Center,4 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Independent Community Building,Y,9,December,2020
87000035,Swain,Kaleidoscope Dreams,Center,4 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Independent Community Building,Y,9,December,2020
87000041,Swain,Grace Christian Academy,Center,Other,11,1,0,0,0,2,2,1,0,5,75,75,Religious Sponsored School,Y,2,December,2020
87000041,Swain,Grace Christian Academy,Center,Other,11,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored School,Y,2,December,2020
87000041,Swain,Grace Christian Academy,Center,Other,11,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored School,Y,2,December,2020
87000045,Swain,Bright Adventures Pre­kindergarten,Center,5 Star C 2C,7,1,0,0,0,1,30,75,2,108,108,108,Local Public School Modular,N,14,December,2020
87000045,Swain,Bright Adventures Pre­kindergarten,Center,5 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Local Public School Modular,N,14,December,2020
87000045,Swain,Bright Adventures Pre­kindergarten,Center,5 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Local Public School Modular,N,14,December,2020
87000064,Swain,Lots­a­tots,Center,3 Star C 2C,6,1,0,4,6,5,8,1,14,38,49,49,Independent Converted Building,Y,5,December,2020
87000064,Swain,Lots­a­tots,Center,3 Star C 2C,6,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,5,December,2020
87000064,Swain,Lots­a­tots,Center,3 Star C 2C,6,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,5,December,2020
87000077,Swain,New Kituwah Academy,Center,1 Star C 2C,7,1,0,9,8,9,8,8,0,42,62,62,Independent Converted Building,N,12,December,2020
87000077,Swain,New Kituwah Academy,Center,1 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,12,December,2020
87000077,Swain,New Kituwah Academy,Center,1 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,N,12,December,2020
87000078,Swain,Cherokee Pre­k,Center,5 Star C 2C,7,1,0,0,0,0,14,26,0,40,54,54,Local Public School School,N,7,December,2020
87000078,Swain,Cherokee Pre­k,Center,5 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,7,December,2020
87000078,Swain,Cherokee Pre­k,Center,5 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,7,December,2020
8755020,Swain,Agelink Child Development Center,Center,4 Star C 2C,2,1,7,10,3,10,6,0,41,77,164,164,Community Service Agency Constructed for Child Care,Y,11,December,2020
8755020,Swain,Agelink Child Development Center,Center,4 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Community Service Agency Constructed for Child Care,Y,11,December,2020
8755020,Swain,Agelink Child Development Center,Center,4 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Community Service Agency Constructed for Child Care,Y,11,December,2020
88000052,Transylvania,Hillview Children's Services Center,Center,5 Star C 2C,2,1,0,6,11,19,33,2,0,71,100,100,Head Start Constructed for Child,Y,21,December,2020
88000052,Transylvania,Hillview Children's Services Center,Center,5 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child,Y,21,December,2020
88000052,Transylvania,Hillview Children's Services Center,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child,Y,21,December,2020
